medallion,hack_license,vendor_id,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,rate_code,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,credit_card
0C5296F3C8B16E702F8F2E06F5106552,D2363240A9295EF570FC6069BC4F4C92,CMT,CSH,34,0.5,0.5,0,0,35,1,2013/1/7 20:46,2013/1/7 21:06,1,1190,12.3,-73.864861,40.770428,-74.006653,40.707874,
0CC08DE5645A7137059499EA11886805,4F2627F9FD34A9B9EFCCFC5147048345,CMT,CSH,6.5,1,0.5,0,0,8,1,2013/1/7 18:45,2013/1/7 18:52,3,459,0.9,-73.979706,40.758427,-73.985558,40.747265,
